Graph	Algorithm	Seed	Solution	Time
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	8	183	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	1	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	10	183	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	2	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	3	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	4	186	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	5	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	6	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	7	188	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	8	183	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+chain+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	1	186	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	10	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	2	183	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	3	181	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	4	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	5	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	6	188	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	7	186	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	8	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	1	188	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	10	190	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	2	190	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	3	191	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	4	193	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	5	191	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	6	190	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	7	196	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	8	193	0
erdos_renyi_n_100_c_7_seed_10.edges	Greedy	9	194	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	1	192	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	10	190	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	2	192	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	3	191	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	4	195	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	5	191	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	6	193	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	7	193	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	8	188	0
erdos_renyi_n_100_c_7_seed_10.edges	HCS+Greedy	9	193	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	1	191	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	10	192	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	2	189	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	3	185	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	4	188	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	5	181	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	6	189	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	7	187	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	8	185	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-12	9	194	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	1	187	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	10	191	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	2	182	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	3	194	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	4	187	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	5	185	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	6	185	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	7	188	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	8	189	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-16	9	184	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	1	187	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	10	184	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	2	191	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	3	191	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	4	187	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	5	186	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	6	187	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	7	191	3
