Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	SimFASDC-12	2	2131269	7855
Amazon0312	SimFASDC-12	3	2129234	7806
Amazon0312	SimFASDC-12	4	2127512	7864
Amazon0312	SimFASDC-12	5	2129602	7914
Amazon0312	SimFASDC-12	6	2129815	7869
Amazon0312	SimFASDC-12	7	2127388	8011
Amazon0312	SimFASDC-12	8	2129085	7858
Amazon0312	SimFASDC-12	9	2129085	7786
Amazon0312	SimFASDC-16	1	2130136	8812
Amazon0312	SimFASDC-16	10	2129192	7783
Amazon0312	SimFASDC-16	2	2131738	8908
Amazon0312	SimFASDC-16	3	2130505	8718
Amazon0312	SimFASDC-16	4	2128304	8931
Amazon0312	SimFASDC-16	5	2130323	8801
Amazon0312	SimFASDC-16	6	2130189	9090
Amazon0312	SimFASDC-16	7	2127879	8918
Amazon0312	SimFASDC-16	8	2129960	8863
Amazon0312	SimFASDC-16	9	2129791	8845
Amazon0312	SimFASDC-24	1	2130063	10842
Amazon0312	SimFASDC-24	10	2129287	10947
Amazon0312	SimFASDC-24	2	2132178	10954
Amazon0312	SimFASDC-24	3	2131123	11039
Amazon0312	SimFASDC-24	4	2128388	11182
Amazon0312	SimFASDC-24	5	2130396	10940
Amazon0312	SimFASDC-24	6	2130902	10953
Amazon0312	SimFASDC-24	7	2128508	11136
Amazon0312	SimFASDC-24	8	2130411	10963
Amazon0312	SimFASDC-24	9	2130128	11139
Amazon0312	SimFASDC-2	1	2125790	5306
Amazon0312	SimFASDC-2	10	2124728	5168
Amazon0312	SimFASDC-2	2	2127101	5366
Amazon0312	SimFASDC-2	3	2127145	5240
Amazon0312	SimFASDC-2	4	2124889	5149
Amazon0312	SimFASDC-2	5	2126406	5173
Amazon0312	SimFASDC-2	6	2126085	5184
Amazon0312	SimFASDC-2	7	2123802	5247
Amazon0312	SimFASDC-2	8	2125106	5167
Amazon0312	SimFASDC-2	9	2125786	5182
Amazon0312	SimFASDC-32	1	2130299	12679
Amazon0312	SimFASDC-32	10	2129661	13306
Amazon0312	SimFASDC-32	2	2131640	12573
Amazon0312	SimFASDC-32	3	2131200	9666
Amazon0312	SimFASDC-32	4	2129126	12727
Amazon0312	SimFASDC-32	5	2130740	12865
Amazon0312	SimFASDC-32	6	2131191	12724
Amazon0312	SimFASDC-32	7	2127734	9368
Amazon0312	SimFASDC-32	8	2130386	12832
Amazon0312	SimFASDC-32	9	2130268	12837
Amazon0312	SimFASDC-3	1	2123610	5408
Amazon0312	SimFASDC-3	10	2122172	4143
Amazon0312	SimFASDC-3	2	2129779	5229
Amazon0312	SimFASDC-3	3	2124095	5512
Amazon0312	SimFASDC-3	4	2122263	5300
Amazon0312	SimFASDC-3	5	2123748	5313
Amazon0312	SimFASDC-3	6	2123626	5331
Amazon0312	SimFASDC-3	7	2121437	5357
Amazon0312	SimFASDC-3	8	2126262	5158
Amazon0312	SimFASDC-3	9	2127264	4058
Amazon0312	SimFASDC-48	1	2130342	16872
Amazon0312	SimFASDC-48	10	2129558	16691
Amazon0312	SimFASDC-48	2	2131776	17118
Amazon0312	SimFASDC-48	3	2130924	16689
Amazon0312	SimFASDC-48	4	2129395	16823
Amazon0312	SimFASDC-48	5	2130444	16997
Amazon0312	SimFASDC-48	6	2130840	17222
Amazon0312	SimFASDC-48	7	2128408	16485
Amazon0312	SimFASDC-48	8	2130847	12289
Amazon0312	SimFASDC-48	9	2130430	16616
Amazon0312	SimFASDC-4	1	2122989	5624
Amazon0312	SimFASDC-4	10	2121736	5622
Amazon0312	SimFASDC-4	2	2124260	5627
Amazon0312	SimFASDC-4	3	2123270	5649
Amazon0312	SimFASDC-4	4	2121624	5604
Amazon0312	SimFASDC-4	5	2123399	5569
Amazon0312	SimFASDC-4	6	2122735	5625
Amazon0312	SimFASDC-4	7	2120226	5615
Amazon0312	SimFASDC-4	8	2122631	5596
Amazon0312	SimFASDC-4	9	2123095	5666
Amazon0312	SimFASDC-6	1	2126287	6244
Amazon0312	SimFASDC-6	10	2125000	6325
Amazon0312	SimFASDC-6	2	2128247	6301
Amazon0312	SimFASDC-6	3	2126837	6248
Amazon0312	SimFASDC-6	4	2124738	6234
Amazon0312	SimFASDC-6	5	2126629	6291
Amazon0312	SimFASDC-6	6	2126537	6237
Amazon0312	SimFASDC-6	7	2123637	6244
Amazon0312	SimFASDC-6	8	2125608	6225
Amazon0312	SimFASDC-6	9	2125594	6178
Amazon0312	SimFASDC-8	1	2127582	6805
Amazon0312	SimFASDC-8	10	2126890	6629
Amazon0312	SimFASDC-8	2	2129813	6758
Amazon0312	SimFASDC-8	3	2128219	6853
Amazon0312	SimFASDC-8	4	2126234	6798
