Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	SimFASDC-24	4	850707	3016
Amazon0312	SimFASDC-24	5	850707	2968
Amazon0312	SimFASDC-24	6	850706	3003
Amazon0312	SimFASDC-24	7	850706	3059
Amazon0312	SimFASDC-24	8	850706	2982
Amazon0312	SimFASDC-24	9	850706	3032
Amazon0312	SimFASDC-2	1	850708	3030
Amazon0312	SimFASDC-2	10	850707	3008
Amazon0312	SimFASDC-2	2	850706	2958
Amazon0312	SimFASDC-2	3	850707	2980
Amazon0312	SimFASDC-2	4	850707	2993
Amazon0312	SimFASDC-2	5	850708	3044
Amazon0312	SimFASDC-2	6	850706	3010
Amazon0312	SimFASDC-2	7	850707	2989
Amazon0312	SimFASDC-2	8	850706	2961
Amazon0312	SimFASDC-2	9	850706	3002
Amazon0312	SimFASDC-32	1	850707	3015
Amazon0312	SimFASDC-32	10	850707	2958
Amazon0312	SimFASDC-32	2	850706	2999
Amazon0312	SimFASDC-32	3	850706	3001
Amazon0312	SimFASDC-32	4	850707	2991
Amazon0312	SimFASDC-32	5	850707	2989
Amazon0312	SimFASDC-32	6	850706	3266
Amazon0312	SimFASDC-32	7	850706	2953
Amazon0312	SimFASDC-32	8	850706	2964
Amazon0312	SimFASDC-32	9	850706	3016
Amazon0312	SimFASDC-3	1	850707	2958
Amazon0312	SimFASDC-3	10	850707	2972
Amazon0312	SimFASDC-3	2	850706	2936
Amazon0312	SimFASDC-3	3	850706	2443
Amazon0312	SimFASDC-3	4	850707	2940
Amazon0312	SimFASDC-3	5	850707	2987
Amazon0312	SimFASDC-3	6	850706	2941
Amazon0312	SimFASDC-3	7	850706	2990
Amazon0312	SimFASDC-3	8	850706	2919
Amazon0312	SimFASDC-3	9	850706	2927
Amazon0312	SimFASDC-48	1	850707	3006
Amazon0312	SimFASDC-48	10	850707	2995
Amazon0312	SimFASDC-48	2	850706	2979
Amazon0312	SimFASDC-48	3	850706	2949
Amazon0312	SimFASDC-48	4	850707	3007
Amazon0312	SimFASDC-48	5	850707	2968
Amazon0312	SimFASDC-48	6	850706	2948
Amazon0312	SimFASDC-48	7	850706	3033
Amazon0312	SimFASDC-48	8	850706	2990
Amazon0312	SimFASDC-48	9	850706	2986
Amazon0312	SimFASDC-4	1	850707	2980
Amazon0312	SimFASDC-4	10	850707	2986
Amazon0312	SimFASDC-4	2	850706	2948
Amazon0312	SimFASDC-4	3	850706	2515
Amazon0312	SimFASDC-4	4	850707	2890
Amazon0312	SimFASDC-4	5	850707	3018
Amazon0312	SimFASDC-4	6	850706	2972
Amazon0312	SimFASDC-4	7	850706	2955
Amazon0312	SimFASDC-4	8	850706	2986
Amazon0312	SimFASDC-4	9	850706	3021
